,COUNTY,STATE,Crime_Count,Crime_rate, Civilian_labor_force_2014 , Employed_2014 , Unemployed_2014 ,Unemployment_rate_2014,Age
0,Autauga,Alabama,3552,6507.997581487385,"25,602","24,107","1,495",5.8,75.66802311
1,Baldwin,Alabama,8884,4601.130083953532,"86,415","81,115","5,300",6.1,78.07568073
2,Barbour,Alabama,1516,6026.874453367258,"8,848","7,916",932,10.5,75.42168312
3,Bibb,Alabama,501,2365.9976387249108,"8,562","7,945",617,7.2,73.96740422
4,Blount,Alabama,2797,4819.339386942812,"24,535","23,032","1,503",6.1,76.16445162
5,Bullock,Alabama,419,3958.057812204799,"4,733","4,315",418,8.8,73.85905748
6,Butler,Alabama,1496,7438.715131022824,"9,272","8,480",792,8.5,73.39030249
7,Calhoun,Alabama,9261,7957.484469114373,"47,257","43,484","3,773",8.0,74.02281022
8,Chambers,Alabama,2797,8179.558414972949,"15,307","14,282","1,025",6.7,74.06034174
9,Cherokee,Alabama,1700,6469.289900296826,"11,390","10,729",661,5.8,75.0811087
10,Chilton,Alabama,2953,6721.445805071244,"19,102","17,906","1,196",6.3,74.52738607
11,Choctaw,Alabama,201,1584.0491764520452,"4,495","4,090",405,9.0,75.28906806
12,Clarke,Alabama,1088,4397.914224503819,"8,157","7,164",993,12.2,75.46213234
13,Clay,Alabama,298,2224.5446401911013,"5,513","5,119",394,7.1,75.05595391
14,Cleburne,Alabama,675,4497.3016190285825,"5,855","5,469",386,6.6,74.29716905
15,Coffee,Alabama,2928,5723.221266614542,"20,235","18,892","1,343",6.6,76.48068444
16,Colbert,Alabama,4725,8660.825573722415,"24,036","22,043","1,993",8.3,75.07178963
17,Conecuh,Alabama,719,5873.223329521321,"4,718","4,231",487,10.3,74.05050259
18,Coosa,Alabama,497,4828.05517777346,"4,469","4,075",394,8.8,75.18827303
19,Covington,Alabama,1746,4662.714308604391,"15,915","14,679","1,236",7.8,75.15398585
20,Crenshaw,Alabama,570,4223.160702378306,"6,301","5,864",437,6.9,74.06851014
21,Cullman,Alabama,3907,4826.4360716491665,"35,929","33,751","2,178",6.1,75.30541456
22,Dale,Alabama,3369,6765.060240963855,"20,323","18,885","1,438",7.1,76.25515737
23,Dallas,Alabama,5787,13920.09236764246,"16,008","14,209","1,799",11.2,72.38922648
24,De Kalb,Alabama,2841,4993.847776410617,,,,,
25,Elmore,Alabama,4808,5913.7536591965745,"36,557","34,469","2,088",5.7,75.93431563
26,Escambia,Alabama,1850,4878.3060411887245,"14,369","13,220","1,149",8.0,74.15178481
27,Etowah,Alabama,9496,9143.869582382453,"43,735","40,655","3,080",7.0,73.85404427
28,Fayette,Alabama,472,2803.6828036828038,"6,351","5,853",498,7.8,73.98258812
29,Franklin,Alabama,1772,5626.289887283696,"13,718","12,658","1,060",7.7,73.30726919
30,Geneva,Alabama,1285,4807.872189171998,"10,796","10,075",721,6.7,75.54368311
31,Greene,Alabama,525,6500.742942050521,"2,986","2,614",372,12.5,74.05096141
32,Hale,Alabama,354,2742.6977609049354,"6,034","5,438",596,9.9,74.01266996
33,Henry,Alabama,640,3814.0643623361134,"6,778","6,270",508,7.5,75.96750715
34,Houston,Alabama,6277,6023.703277193992,"45,159","42,097","3,062",6.8,76.80812063
35,Jackson,Alabama,2914,5666.835206720861,"23,454","21,752","1,702",7.3,74.13013636
36,Jefferson,Alabama,67718,10762.29905517192,"312,247","292,621","19,626",6.3,75.34314624
37,Lamar,Alabama,270,1904.2245574441074,"5,626","5,234",392,7.0,74.83260966
38,Lauderdale,Alabama,4549,4913.004503677463,"43,489","40,362","3,127",7.2,76.49725809999998
39,Lawrence,Alabama,1262,3917.6729891658647,"14,026","12,873","1,153",8.2,74.33276038
40,Lee,Alabama,8665,5638.926488962932,"71,372","67,385","3,987",5.6,76.51751381
41,Limestone,Alabama,3291,3641.896752061086,"39,591","37,177","2,414",6.1,77.21481692
42,Lowndes,Alabama,645,8151.143687602678,"3,874","3,378",496,12.8,72.57266331
43,Macon,Alabama,2023,10501.453488372092,"8,239","7,489",750,9.1,72.81199402
44,Madison,Alabama,28900,8261.226263267272,"170,131","159,637","10,494",6.2,78.06564997
45,Marengo,Alabama,1280,6529.612814365149,"7,626","7,018",608,8.0,74.68026646
46,Marion,Alabama,1376,4558.555573960576,"12,293","11,322",971,7.9,74.53914217
47,Marshall,Alabama,6101,6407.671140798622,"39,915","37,254","2,661",6.7,74.53037821
48,Mobile,Alabama,37611,9073.342307525294,"185,382","171,027","14,355",7.7,75.12711493
49,Monroe,Alabama,1384,6564.2193132233,"7,617","6,775",842,11.1,74.9691854
50,Montgomery,Alabama,20708,9162.021060083178,"105,042","97,838","7,204",6.9,75.83401496
51,Morgan,Alabama,6622,5555.3691275167785,"56,053","52,357","3,696",6.6,76.21298745
52,Perry,Alabama,371,6175.099866844206,"3,490","3,067",423,12.1,72.30522158
53,Pickens,Alabama,232,3436.0189573459725,"7,762","7,126",636,8.2,74.5516309
54,Pike,Alabama,2816,8417.276939172021,"14,953","13,852","1,101",7.4,74.90191111
55,Randolph,Alabama,726,3199.788443739257,"9,277","8,653",624,6.7,74.65191482
56,Russell,Alabama,5366,8837.868107253442,"24,774","23,156","1,618",6.5,74.42946613
57,St Clair,Alabama,2787,3222.635924238569,,,,,
58,Shelby,Alabama,4769,4471.216951059441,"107,247","102,440","4,807",4.5,79.53418046
59,Sumter,Alabama,553,4224.921689968676,"5,374","4,918",456,8.5,74.82131302
60,Talladega,Alabama,7296,9017.426770485725,"35,399","32,651","2,748",7.8,74.28689529
61,Tallapoosa,Alabama,2553,6235.498131548738,"18,424","17,041","1,383",7.5,75.01084601
62,Tuscaloosa,Alabama,15824,7817.602450411283,"97,092","91,359","5,733",5.9,75.79956916
63,Walker,Alabama,5612,8631.32315169412,"25,761","23,724","2,037",7.9,71.56804807
64,Washington,Alabama,385,2303.871701274609,"6,656","6,017",639,9.6,74.81607809
65,Wilcox,Alabama,461,4099.235283656411,"2,865","2,380",485,16.9,72.20820195
66,Winston,Alabama,437,2183.6897861283232,"9,634","8,806",828,8.6,74.51322907
67,Aleutians East,Alaska ,0,,,,,,
68,Aleutians West,Alaska ,110,2553.38904363974,,,,,
69,Anchorage,Alaska ,28809,9561.376142526202,,,,,
70,Bethel,Alaska ,415,6453.117711086923,,,,,
71,Bristol Bay,Alaska ,25,2645.502645502645,,,,,
72,Dillingham,Alaska ,183,7574.503311258278,,,,,
73,Fairbanks North Star,Alaska ,3236,9322.424521779212,,,,,
74,Haines,Alaska ,94,3616.775682954983,,,,,
75,Juneau,Alaska ,2137,6478.113253304234,,,,,
76,Kenai Peninsula,Alaska ,1881,9354.020587796507,,,,,
77,Ketchikan Gateway,Alaska ,641,7773.4659228716955,,,,,
78,Kodiak Island,Alaska ,625,9622.78675904542,,,,,
79,Lake and Peninsula,Alaska ,0,,,,,,
80,Matanuska-Susitna,Alaska ,1645,10688.758934372967,,,,,
81,Nome,Alaska ,210,5463.059313215401,,,,,
82,North Slope,Alaska ,373,3848.9319987617378,,,,,
83,Northwest Arctic,Alaska ,387,11766.494375190026,,,,,
84,Prince of Wales-Outer Ketchikan,Alaska ,72,5696.202531645569,,,,,
85,Sitka,Alaska ,490,5413.766434648105,,,,,
86,Skagway-Hoonah-Angoon,Alaska ,36,3607.214428857716,,,,,
87,Southeast Fairbanks,Alaska ,0,,,,,,
88,Valdez-Cordova,Alaska ,300,4743.083003952569,,,,,
89,Wade Hampton,Alaska ,0,,,,,,
90,Wrangell-Petersburg,Alaska ,220,4134.561172711896,,,,,
91,Yakutat,Alaska ,0,,,,,,
92,Yukon-Koyukuk,Alaska ,0,,,,,,
