,COUNTY,STATE,Crime_Count,Crime_rate, Civilian_labor_force_2011 , Employed_2011 , Unemployed_2011 ,Unemployment_rate_2011,Age
0,Autauga,Alabama,3671,6694.751431593538,"25,836","23,677","2,159",8.4,75.66856382
1,Baldwin,Alabama,10546,5758.373284118335,"85,045","77,418","7,627",9.0,77.79993727
2,Barbour,Alabama,1520,5509.442168980389,"9,849","8,712","1,137",11.5,75.28452629
3,Bibb,Alabama,575,5532.0377140658065,"8,933","7,996",937,10.5,74.01952213
4,Blount,Alabama,2828,4909.892704607799,"25,123","22,939","2,184",8.7,76.28528429
5,Bullock,Alabama,401,3656.4238169052614,"4,833","4,272",561,11.6,73.83379239
6,Butler,Alabama,1702,8086.278981375905,"9,188","8,042","1,146",12.5,73.59232320000001
7,Calhoun,Alabama,11413,9579.245108818814,"51,268","45,963","5,305",10.3,74.23818199
8,Chambers,Alabama,3268,9505.526468877251,"15,200","13,380","1,820",12.0,74.07455728
9,Cherokee,Alabama,2309,8842.000459523628,"11,476","10,364","1,112",9.7,75.17176543
10,Chilton,Alabama,3478,7931.042346019656,"19,539","17,753","1,786",9.1,74.39746937
11,Choctaw,Alabama,230,1651.5869596438315,"4,764","4,138",626,13.1,75.32011463
12,Clarke,Alabama,1123,4326.385945987595,"8,843","7,181","1,662",18.8,75.32904762
13,Clay,Alabama,356,2543.038788484892,"5,598","4,935",663,11.8,74.93992062
14,Cleburne,Alabama,326,8341.862845445241,"5,939","5,365",574,9.7,74.56259461
15,Coffee,Alabama,3382,6738.662628516779,"20,749","19,059","1,690",8.1,76.57242434
16,Colbert,Alabama,3884,7101.846772718963,"24,386","21,905","2,481",10.2,75.31518635
17,Conecuh,Alabama,981,7720.761844797733,"4,785","4,057",728,15.2,74.0061223
18,Coosa,Alabama,560,5812.746522731991,"4,477","3,918",559,12.5,75.12144482
19,Covington,Alabama,2148,5660.526523835876,"16,367","14,764","1,603",9.8,75.43503638
20,Crenshaw,Alabama,691,5012.694958287993,"6,432","5,798",634,9.9,74.35205198
21,Cullman,Alabama,4579,5667.570210290495,"35,669","32,279","3,390",9.5,75.33762340000001
22,Dale,Alabama,3392,6717.762858217971,"22,017","20,188","1,829",8.3,76.30187699
23,Dallas,Alabama,6971,15832.027435216098,"17,514","14,866","2,648",15.1,72.42022324
24,De Kalb,Alabama,4033,5644.427649717988,,,,,
25,Elmore,Alabama,4116,5165.33852042417,"36,597","33,521","3,076",8.4,76.20645815
26,Escambia,Alabama,2873,7461.756226787525,"14,978","13,355","1,623",10.8,74.20047595
27,Etowah,Alabama,10294,9810.069282303946,"44,722","40,238","4,484",10.0,73.84189864
28,Fayette,Alabama,553,3192.1034403140147,"6,632","5,896",736,11.1,74.11051273
29,Franklin,Alabama,1754,5556.259503294476,"14,362","12,986","1,376",9.6,73.43459353
30,Geneva,Alabama,1429,5308.518147033694,"11,486","10,429","1,057",9.2,75.58657742
31,Greene,Alabama,685,8118.999644423373,"3,226","2,668",558,17.3,74.01821261
32,Hale,Alabama,132,3125.7399952640308,"6,296","5,426",870,13.8,73.89571325
33,Henry,Alabama,611,3514.524014955421,"7,270","6,563",707,9.7,75.78976125
34,Houston,Alabama,7971,7811.948723979773,"46,778","42,747","4,031",8.6,76.81466967
35,Jackson,Alabama,2817,5342.005954525629,"24,163","21,682","2,481",10.3,74.22110918
36,Jefferson,Alabama,79282,12034.122129293726,"319,652","289,916","29,736",9.3,75.14456531
37,Lamar,Alabama,227,1551.1821784884514,"5,826","5,260",566,9.7,74.98227866
38,Lauderdale,Alabama,4161,4466.7489667758055,"44,048","40,026","4,022",9.1,76.49666981
39,Lawrence,Alabama,1453,4211.105958729423,"14,788","13,177","1,611",10.9,74.38731395
40,Lee,Alabama,9774,6935.751692425597,"68,316","62,812","5,504",8.1,77.21452242
41,Limestone,Alabama,2482,2983.890358259197,"38,990","35,631","3,359",8.6,77.04310429
42,Lowndes,Alabama,942,8297.366334889457,"4,239","3,489",750,17.7,72.65623882
43,Macon,Alabama,1523,7065.646021804686,"8,512","7,317","1,195",14.0,72.97203780000001
44,Madison,Alabama,28175,8374.898193340508,"171,726","157,512","14,214",8.3,78.04909439
45,Marengo,Alabama,1413,6729.532790398629,"7,875","6,884",991,12.6,74.66888983
46,Marion,Alabama,1478,4779.4593196222995,"12,556","11,149","1,407",11.2,74.51949886
47,Marshall,Alabama,7960,8516.374763285437,"41,085","37,216","3,869",9.4,74.52507561
48,Mobile,Alabama,45048,10855.462913875368,"193,851","172,971","20,880",10.8,74.92326655
49,Monroe,Alabama,1480,6769.118185144529,"8,325","7,017","1,308",15.7,74.96650645
50,Montgomery,Alabama,24411,10591.971952600588,"109,092","98,491","10,601",9.7,76.01167625
51,Morgan,Alabama,7159,5962.603589722234,"58,319","52,810","5,509",9.4,76.13844585
52,Perry,Alabama,1,26.99784017278618,"3,866","3,227",639,16.5,72.50795375
53,Pickens,Alabama,424,2204.888195527821,"7,570","6,663",907,12.0,74.56487463
54,Pike,Alabama,2466,7459.842090933842,"15,438","14,070","1,368",8.9,74.90998261
55,Randolph,Alabama,1297,5633.496937844764,"9,447","8,374","1,073",11.4,74.81431297
56,Russell,Alabama,5308,10082.437412149073,"24,604","22,077","2,527",10.3,73.86789117
57,St Clair,Alabama,4352,5181.260789332699,,,,,
58,Shelby,Alabama,8337,4268.074170395323,"104,214","97,727","6,487",6.2,79.03916838
59,Sumter,Alabama,634,4649.457318861836,"5,560","4,829",731,13.1,74.58289711
60,Talladega,Alabama,7670,9275.944223396666,"35,293","31,192","4,101",11.6,73.96018283
61,Tallapoosa,Alabama,2697,6615.3204640781005,"18,363","16,266","2,097",11.4,74.99851275
62,Tuscaloosa,Alabama,16208,8286.595123547366,"95,463","87,532","7,931",8.3,75.62794702
63,Walker,Alabama,3459,13657.361708848264,"27,092","24,034","3,058",11.3,71.71524196
64,Washington,Alabama,559,3164.270349824522,"7,106","6,070","1,036",14.6,74.98142663
65,Wilcox,Alabama,251,2140.5423844448237,"2,979","2,289",690,23.2,72.27472349
66,Winston,Alabama,1004,4080.969026908381,"9,819","8,492","1,327",13.5,74.56828725
67,Aleutians East,Alaska ,0,,,,,,
68,Aleutians West,Alaska ,236,4777.327935222672,,,,,
69,Anchorage,Alaska ,24208,8152.07691401054,,,,,
70,Bethel,Alaska ,338,5463.067722644254,,,,,
71,Bristol Bay,Alaska ,58,5714.285714285714,,,,,
72,Dillingham,Alaska ,204,8607.594936708861,,,,,
73,Fairbanks North Star,Alaska ,3183,9295.330432497152,,,,,
74,Haines,Alaska ,83,4761.904761904762,,,,,
75,Juneau,Alaska ,2786,8754.124116260802,,,,,
76,Kenai Peninsula,Alaska ,1559,8081.0698735227015,,,,,
77,Ketchikan Gateway,Alaska ,938,11450.1953125,,,,,
78,Kodiak Island,Alaska ,688,11029.176017954473,,,,,
79,Lake and Peninsula,Alaska ,0,,,,,,
80,Matanuska-Susitna,Alaska ,1364,9735.902926481083,,,,,
81,Nome,Alaska ,165,4506.965310024583,,,,,
82,North Slope,Alaska ,420,4376.823676531888,,,,,
83,Northwest Arctic,Alaska ,443,13601.473748848633,,,,,
84,Prince of Wales-Outer Ketchikan,Alaska ,90,7364.9754500818335,,,,,
85,Sitka,Alaska ,431,4769.2818413190225,,,,,
86,Skagway-Hoonah-Angoon,Alaska ,44,4700.854700854701,,,,,
87,Southeast Fairbanks,Alaska ,0,,,,,,
88,Valdez-Cordova,Alaska ,282,4459.203036053131,,,,,
89,Wade Hampton,Alaska ,0,,,,,,
90,Wrangell-Petersburg,Alaska ,356,6579.190537793384,,,,,
91,Yakutat,Alaska ,0,,,,,,
92,Yukon-Koyukuk,Alaska ,0,,,,,,
93,Apache,Arizona,914,1324.61848379009,"23,040","18,788","4,252",18.5,74.35655201
94,Cochise,Arizona,8136,6354.859874402476,"55,917","50,589","5,328",9.5,78.67012083
95,Coconino,Arizona,10366,7603.9435462574465,"71,682","64,846","6,836",9.5,79.0072897
96,Gila,Arizona,2615,4903.707315243685,"21,171","18,725","2,446",11.6,76.33087775
97,Graham,Arizona,1368,4877.700919917279,"14,345","12,916","1,429",10.0,77.52949957
98,Greenlee,Arizona,68,2025.014889815366,"3,352","2,982",370,11.0,78.05061765
99,La Paz,Arizona,1032,5846.363018354861,"7,827","7,057",770,9.8,80.34449445
100,Maricopa,Arizona,319186,8245.239469873979,"1,894,633","1,732,510","162,123",8.6,79.78919388
101,Mohave,Arizona,13777,6786.030932913011,"79,594","69,823","9,771",12.3,75.38783151
102,Navajo,Arizona,5459,5009.635679544828,"43,344","36,914","6,430",14.8,75.54625008
103,Pima,Arizona,56777,5711.167441205465,"466,908","427,335","39,573",8.5,79.10095796
104,Pinal,Arizona,21938,5800.435204501167,"149,658","135,043","14,615",9.8,79.59593191
105,Santa Cruz,Arizona,1921,4072.9354394148213,"20,478","17,311","3,167",15.5,81.82779496
106,Yavapai,Arizona,10614,4959.349593495935,"93,132","83,953","9,179",9.9,78.97826765
107,Yuma,Arizona,8911,5161.129645074599,"91,935","69,677","22,258",24.2,80.34449445
108,Arkansas,Arkansas,1515,7905.860251526379,"10,589","9,297","1,292",12.2,74.54099453
109,Ashley,Arkansas,1201,5454.6280316105,"9,886","8,780","1,106",11.2,74.89381924
110,Baxter,Arkansas,2538,6067.850909699478,"16,602","15,061","1,541",9.3,76.82867402
111,Benton,Arkansas,10791,4849.909437795226,"109,574","102,441","7,133",6.5,79.34006566
112,Boone,Arkansas,2164,5946.035060724294,"16,697","15,367","1,330",8.0,77.22808487
113,Bradley,Arkansas,479,4452.086625151036,"4,560","3,988",572,12.5,74.51545132
114,Calhoun,Arkansas,97,1793.3074505453876,"2,639","2,385",254,9.6,75.82306265
115,Carroll,Arkansas,1502,5431.4023287770315,"12,896","11,964",932,7.2,77.91735940000001
116,Chicot,Arkansas,392,3297.1654470518965,"4,282","3,718",564,13.2,73.40604958
117,Clark,Arkansas,1529,6599.335318744876,"10,335","9,261","1,074",10.4,75.85880099
118,Clay,Arkansas,473,2918.852206109225,"7,304","6,419",885,12.1,74.82099975
119,Cleburne,Arkansas,1895,7242.222731789346,"10,551","9,579",972,9.2,77.2897769
120,Cleveland,Arkansas,270,3083.9520274129072,"3,885","3,554",331,8.5,76.23326795
121,Columbia,Arkansas,1534,6200.986336809766,"10,445","9,401","1,044",10.0,74.47879872
122,Conway,Arkansas,1722,8033.964728935336,"9,038","8,145",893,9.9,76.25054490000001
123,Craighead,Arkansas,8538,9108.463040208242,"49,190","45,556","3,634",7.4,75.95904162
124,Crawford,Arkansas,3082,4937.757341749843,"28,020","25,539","2,481",8.9,76.03789219
125,Crittenden,Arkansas,9180,17899.272720182504,"22,778","20,293","2,485",10.9,72.27162892
126,Cross,Arkansas,891,4948.625381838378,"8,832","8,092",740,8.4,74.07371555
127,Dallas,Arkansas,410,5014.0638375932485,"3,322","2,908",414,12.5,74.31388824
128,Desha,Arkansas,666,7113.864558854946,"6,151","5,464",687,11.2,73.94073887
129,Drew,Arkansas,1424,7635.798166121507,"8,656","7,651","1,005",11.6,75.86903676
130,Faulkner,Arkansas,8570,7511.350290111663,"59,482","55,206","4,276",7.2,77.52178834
131,Franklin,Arkansas,822,4501.149928813931,"7,799","7,201",598,7.7,75.6542112
132,Fulton,Arkansas,599,4854.9197600907755,"5,127","4,729",398,7.8,76.40927513
133,Garland,Arkansas,10958,11326.09819121447,"41,787","38,127","3,660",8.8,75.41031622
134,Grant,Arkansas,697,3874.805425839448,"8,560","7,928",632,7.4,75.94720655
135,Greene,Arkansas,4654,10974.34446330881,"20,147","18,189","1,958",9.7,75.04734827
136,Hempstead,Arkansas,1973,8661.106233538192,"11,024","10,049",975,8.8,75.20583345
137,Hot Spring,Arkansas,528,5078.876490958061,"14,527","13,320","1,207",8.3,75.71705243
138,Howard,Arkansas,671,4829.770387965162,"6,746","6,240",506,7.5,74.90394705
139,Independence,Arkansas,3452,9348.932943343083,"16,711","15,149","1,562",9.3,75.93819277
140,Izard,Arkansas,437,3166.666666666667,"5,232","4,713",519,9.9,76.07733327
141,Jackson,Arkansas,1544,8514.862405558926,"6,714","5,935",779,11.6,73.97532282
142,Jefferson,Arkansas,11058,14355.445930157082,"33,727","29,978","3,749",11.1,74.24182742
143,Johnson,Arkansas,1426,5541.5225585823655,"11,134","10,256",878,7.9,76.5685196
144,Lafayette,Arkansas,274,3557.0556925873034,"3,007","2,716",291,9.7,74.26431746
145,Lawrence,Arkansas,541,3083.148116487149,"7,471","6,731",740,9.9,75.04388138
146,Lee,Arkansas,438,4170.237075121394,"3,678","3,326",352,9.6,73.63650144
147,Lincoln,Arkansas,255,1903.2691446484555,"4,782","4,335",447,9.3,76.37692565
148,Little River,Arkansas,613,4619.094265692112,"6,143","5,662",481,7.8,75.19572544
149,Logan,Arkansas,1371,6087.381227244471,"9,641","8,790",851,8.8,75.78760921
150,Lonoke,Arkansas,4826,7309.131113029518,"33,448","31,123","2,325",7.0,75.6598023
151,Madison,Arkansas,288,2137.7672209026127,"7,244","6,753",491,6.8,76.50785858
152,Marion,Arkansas,740,4410.274748197151,"6,758","6,120",638,9.4,76.80380736
153,Miller,Arkansas,5628,12851.95588134548,"20,808","19,484","1,324",6.4,75.56985427
154,Mississippi,Arkansas,5716,12205.329689101467,"20,984","18,454","2,530",12.1,72.63586569
155,Monroe,Arkansas,553,6734.867860187553,"3,390","3,067",323,9.5,73.77600069
156,Montgomery,Arkansas,46,481.22188513442825,"3,826","3,470",356,9.3,77.03853788
157,Nevada,Arkansas,524,5780.474351902923,"4,180","3,784",396,9.5,74.83943611
158,Newton,Arkansas,179,2132.7296556654355,"3,803","3,518",285,7.5,77.64060983
159,Ouachita,Arkansas,1497,5688.12219773539,"11,066","9,900","1,166",10.5,73.46659755
160,Perry,Arkansas,444,4218.928164196123,"4,520","4,098",422,9.3,75.58987476
161,Phillips,Arkansas,2293,16897.568165070006,"8,447","7,421","1,026",12.1,71.11590917
162,Pike,Arkansas,202,1775.6680731364277,"4,654","4,186",468,10.1,75.99788675
163,Poinsett,Arkansas,1802,7275.22306108442,"10,817","9,783","1,034",9.6,72.50194473
164,Polk,Arkansas,1101,5288.692477663561,"8,947","8,226",721,8.1,75.80428691
165,Pope,Arkansas,3936,6325.838543257099,"30,517","28,125","2,392",7.8,76.93993249
166,Prairie,Arkansas,147,1802.133137182788,"3,937","3,596",341,8.7,76.16502804
167,Pulaski,Arkansas,62146,16114.904198961216,"190,083","175,884","14,199",7.5,76.50863427
168,Randolph,Arkansas,132,729.0803645401822,"7,186","6,375",811,11.3,76.19114521
169,St Francis,Arkansas,3410,11976.678842371453,,,,,
170,Saline,Arkansas,7208,6678.52642502409,"54,212","50,604","3,608",6.7,78.13705907
171,Scott,Arkansas,620,5688.595283971006,"4,832","4,489",343,7.1,75.90248131
172,Searcy,Arkansas,74,896.2092769771104,"3,336","3,030",306,9.2,76.35611714
173,Sebastian,Arkansas,12009,9533.524919422702,"59,600","54,442","5,158",8.7,76.41829722
174,Sevier,Arkansas,653,3799.383254785594,"6,402","5,812",590,9.2,75.19485873
175,Sharp,Arkansas,633,7494.67203409898,"6,294","5,619",675,10.7,75.60814128
176,Stone,Arkansas,453,3627.482383087765,"5,402","4,919",483,8.9,76.69486704
177,Union,Arkansas,3691,9210.230817217716,"16,977","15,187","1,790",10.5,73.76624057
178,Van Buren,Arkansas,725,4160.449902444623,"6,756","6,010",746,11.0,77.22262295
179,Washington,Arkansas,14933,7395.0270634319295,"104,823","98,216","6,607",6.3,78.12809592
180,White,Arkansas,5663,7349.486716935096,"36,768","33,580","3,188",8.7,75.8625673
181,Woodruff,Arkansas,28,707.4279939363315,"3,571","3,179",392,11.0,73.39205466
182,Yell,Arkansas,1041,4657.09300764998,"9,605","8,886",719,7.5,75.69629459
183,Alameda,California ,127181,8323.222248836079,,,,,
184,Alpine,California ,224,18839.360807401183,,,,,
185,Amador,California ,2148,5573.574820311892,,,,,
186,Butte,California ,11951,5369.160683960357,,,,,
187,Calaveras,California ,2552,5534.111115930085,,,,,
188,Colusa,California ,1086,5011.305431221448,,,,,
189,Contra Costa,California ,67984,6405.384804547387,,,,,
190,Del Norte,California ,1848,6384.301803357977,,,,,
191,El Dorado,California ,6979,3809.7681604043955,,,,,
192,Fresno,California ,91350,9857.303792714984,,,,,
193,Glenn,California ,1419,4987.171827223843,,,,,
194,Humboldt,California ,9357,6869.741421082772,,,,,
195,Imperial,California ,12341,7311.7120106171205,,,,,
196,Inyo,California ,675,3597.3140055425292,,,,,
197,Kern,California ,69549,8187.031931649366,,,,,
198,Kings,California ,7990,5162.165654477323,,,,,
199,Lake,California ,4157,6353.840275124188,,,,,
200,Lassen,California ,1201,3401.784449794647,,,,,
201,Los Angeles,California ,550792,5544.495372624593,,,,,
202,Madera,California ,9230,6046.94737255878,,,,,
203,Marin,California ,10467,4098.662364513501,,,,,
204,Mariposa,California ,841,4554.316040290263,,,,,
205,Mendocino,California ,4015,4517.631703310304,,,,,
206,Merced,California ,21150,8172.333848531684,,,,,
207,Modoc,California ,389,3969.387755102041,,,,,
208,Mono,California ,721,5017.746537685295,,,,,
209,Monterey,California ,23773,5661.1007391602525,,,,,
210,Napa,California ,6517,4719.420084148629,,,,,
211,Nevada,California ,3419,3421.566174630973,,,,,
212,Orange,California ,136664,4487.230842981068,,,,,
213,Placer,California ,16666,4727.567739300141,,,,,
214,Plumas,California ,987,4876.000395217864,,,,,
215,Riverside,California ,143033,6456.358316534123,,,,,
216,Sacramento,California ,106118,7392.576771183178,,,,,
217,San Benito,California ,2235,3996.852590353905,,,,,
218,San Bernardino,California ,131985,6409.727186548144,,,,,
219,San Diego,California ,152536,4870.707644184422,,,,,
220,San Francisco,California ,78651,9653.97121152423,,,,,
221,San Joaquin,California ,69831,10071.362434053208,,,,,
222,San Luis Obispo,California ,13804,5059.987463664788,,,,,
223,San Mateo,California ,31106,4279.2857860192025,,,,,
224,Santa Barbara,California ,21553,5025.438469681354,,,,,
225,Santa Clara,California ,87350,4845.813267265325,,,,,
226,Santa Cruz,California ,19865,7483.039323155044,,,,,
227,Shasta,California ,12521,6983.034588915039,,,,,
228,Sierra,California ,124,3782.7943868212324,,,,,
229,Siskiyou,California ,2041,4492.823809104518,,,,,
230,Solano,California ,27885,6667.814434616681,,,,,
231,Sonoma,California ,20078,4101.183497219987,,,,,
232,Stanislaus,California ,43499,8357.140524225699,,,,,
233,Sutter,California ,6107,6371.347195125768,,,,,
234,Tehama,California ,3612,5625.379619679484,,,,,
235,Trinity,California ,344,2466.3034126756525,,,,,
236,Tulare,California ,34373,7683.229133370736,,,,,
237,Tuolumne,California ,2748,4905.741216795202,,,,,
238,Ventura,California ,31859,3824.623618092262,,,,,
239,Yolo,California ,11770,5792.037793415679,,,,,
