,FIPS_ST,FIPS_CTY,CPOPCRIM,COUNTY,STATE,Crime_Count,Crime_rate
0,1,1,54571,Autauga,Alabama,3329,6100.309688295982
1,1,3,182265,Baldwin,Alabama,9099,4992.181713439223
2,1,5,27178,Barbour,Alabama,960,3532.268746780484
3,1,7,22915,Bibb,Alabama,934,4075.932795112372
4,1,9,57322,Blount,Alabama,658,1147.9013293325424
5,1,11,10914,Bullock,Alabama,260,2382.2613157412497
6,1,13,20947,Butler,Alabama,1220,5824.223039098678
7,1,15,118572,Calhoun,Alabama,10334,8715.379684917181
8,1,17,18995,Chambers,Alabama,2894,15235.588312713871
9,1,19,25989,Cherokee,Alabama,1542,5933.27946438878
10,1,21,43643,Chilton,Alabama,2808,6434.0214925646715
11,1,23,13638,Choctaw,Alabama,164,1202.5223639829887
12,1,25,25833,Clarke,Alabama,759,2938.102427128092
13,1,27,13932,Clay,Alabama,208,1492.9658340511053
14,1,29,14972,Cleburne,Alabama,616,4114.346780657227
15,1,31,49948,Coffee,Alabama,2842,5689.917514214783
16,1,33,54428,Colbert,Alabama,2833,5205.041522745646
17,1,35,12645,Conecuh,Alabama,752,5947.0146302886515
18,1,37,10064,Coosa,Alabama,6,59.61844197138314
19,1,39,37765,Covington,Alabama,1719,4551.833708460214
20,1,41,10590,Crenshaw,Alabama,344,3248.3474976392827
21,1,43,80406,Cullman,Alabama,4234,5265.776185856777
22,1,45,49604,Dale,Alabama,2289,4614.54721393436
23,1,47,43820,Dallas,Alabama,3398,7754.450022820631
24,1,49,70091,De Kalb,Alabama,748,1067.1840892553964
25,1,51,79303,Elmore,Alabama,1442,1818.3423073528115
26,1,53,38319,Escambia,Alabama,2019,5268.926642135755
27,1,55,104430,Etowah,Alabama,9190,8800.15321267835
28,1,57,16093,Fayette,Alabama,450,2796.246815385571
29,1,59,31416,Franklin,Alabama,1230,3915.2024446142095
30,1,61,26790,Geneva,Alabama,1042,3889.5110115714815
31,1,63,8396,Greene,Alabama,648,7717.960933777989
32,1,65,15760,Hale,Alabama,486,3083.756345177665
33,1,67,17302,Henry,Alabama,469,2710.6692867876545
34,1,69,99349,Houston,Alabama,8702,8759.021228195554
