STATE,COUNTY,YEAR,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age,Civilian_labor_force,Employed,Unemployed,Unemployment_rate,Crime_rate,Total Income,Median income
Alabama,Baldwin,2009,277.4019978,54.3040296,2.64383471,1.374905778,77.64190155,82451,74403,8048,9.8,5161.599661,74477,48487
Alabama,Calhoun,2009,374.7165665,82.23094931,3.001320768,2.186703357,73.94425187,53925,47929,5996,11.1,11037.62428,46535,36527
Alabama,Cullman,2009,363.485138,85.36456793,1.617297119,1.780971992,75.22678383,38537,34585,3952,10.3,5151.437653,31055,36628
Alabama,Elmore,2009,283.7473285,83.39702928,2.86765494,2.371073057,75.84782592,36392,32944,3448,9.5,5101.057506,24607,51142
Alabama,Etowah,2009,379.0495357,92.17918372,2.457942734,1.835908314,73.45328426,44993,39838,5155,11.5,7918.272938,41422,39118
Alabama,Houston,2009,310.4587128,67.18337186,4.136704524,1.3124873,76.39751552,45903,41638,4265,9.3,10494.35897,37359,38342
Alabama,Jefferson,2009,306.6556591,60.84184161,5.745854745,2.151283709,74.83030219,307018,274011,33007,10.8,13897.48223,270513,43279
Alabama,Lauderdale,2009,267.3219582,72.80709808,1.757772705,1.252821142,76.46028842,43432,38804,4628,10.7,6318.877437,36730,38798
Alabama,Lee,2009,290.3574278,66.18906274,3.717894143,1.538024061,76.83404269,64893,58787,6106,9.4,9237.344337,56150,36925
Alabama,Limestone,2009,311.2876175,63.46305403,3.033088143,1.582416724,76.94866708,38288,34543,3745,9.8,4233.634878,26522,46065
Alabama,Madison,2009,240.3688465,60.81519375,2.682280305,2.136853396,77.65985713,168887,155310,13577,8,8946.157386,128729,57617
Alabama,Marshall,2009,354.5654038,96.40558076,1.74912222,2.200877332,74.28797894,40743,36604,4139,10.2,8293.151174,32651,37284
Alabama,Mobile,2009,334.392562,64.30598247,7.116246993,1.217273691,74.58457896,186825,165725,21100,11.3,11287.96329,162613,40047
Alabama,Montgomery,2009,281.9055695,64.43180173,7.675231344,2.843951977,75.53875629,105106,94078,11028,10.5,11397.83328,89732,41452
