STATE,COUNTY,YEAR,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age,Civilian_labor_force,Employed,Unemployed,Unemployment_rate,Crime_rate,Total Income,Median income
Alabama,Baldwin,2010,279.9784532,55.12052871,2.274115419,1.265390646,77.79579474,"83,459","75,120","8,339",10,4992.181713,68096,47502
Alabama,Calhoun,2010,371.1881195,82.19681927,2.554777219,1.997312372,74.11151762,"51,559","45,699","5,860",11.4,8715.379685,45862,36675
Alabama,Cullman,2010,352.4025079,83.93129939,1.411824576,1.793355164,75.4808837,"35,959","32,202","3,757",10.4,5265.776186,29666,35786
Alabama,Elmore,2010,281.1109222,84.13864704,2.578029631,2.491135052,75.94841836,"36,683","33,362","3,321",9.1,1818.342307,28860,52222
Alabama,Etowah,2010,364.1838191,90.11532587,2.187830479,1.897462771,73.85992697,"44,000","39,193","4,807",10.9,8800.153213,39731,35897
Alabama,Houston,2010,301.7444307,66.72217136,3.550868903,1.275441682,76.70386659,"46,414","42,170","4,244",9.1,8759.021228,40206,38579
Alabama,Jefferson,2010,301.1114572,62.39260604,5.549146093,2.133554747,75.11368826,"318,520","285,627","32,893",10.3,12243.90182,257219,41583
Alabama,Lauderdale,2010,262.0401743,70.80163106,1.552049844,1.263578109,76.55454754,"43,596","39,193","4,403",10.1,5254.074577,38644,38661
Alabama,Lee,2010,282.0212683,67.1273215,3.05398325,1.517449267,77.16627268,"66,764","60,758","6,006",9,5399.758997,55073,39381
Alabama,Limestone,2010,301.0885465,63.782374,2.662776709,1.560853447,77.14737916,"38,321","34,625","3,696",9.6,3819.670943,31395,50325
Alabama,Madison,2010,236.1174683,61.84953437,2.160390095,2.162726361,77.78592151,"169,833","155,656","14,177",8.3,8848.735313,129367,53539
Alabama,Marshall,2010,338.3077555,98.58837135,1.606243021,2.184812199,74.56592733,"41,637","37,640","3,997",9.6,6709.381954,35024,39343
Alabama,Mobile,2010,325.4051529,63.00223598,6.110211189,1.258885528,74.95242566,"192,730","170,943","21,787",11.3,11017.64683,153676,39998
Alabama,Montgomery,2010,276.3385412,63.26722193,7.302938546,2.778540894,75.93368939,"108,753","97,892","10,861",10,10956.43151,88176,41946
Alabama,Morgan,2010,337.3561951,74.10774559,1.576586878,3.274864029,75.91841837,"57,817","51,600","6,217",10.8,6972.968449,45606,45513
Alabama,Shelby,2010,235.1182625,54.99962566,1.234829181,1.871071679,79.18368881,"102,372","95,110","7,262",7.1,4261.360714,72588,65673
Alabama,Talladega,2010,337.3744168,82.90798674,2.84785313,2.143147746,74.23266518,"35,129","30,389","4,740",13.5,8328.978868,30119,34488
Alabama,Tuscaloosa,2010,302.1643419,67.31523482,2.396677645,1.522507968,75.8599936,"93,915","85,273","8,642",9.2,9201.874075,66583,43450
Alabama,Walker,2010,343.863188,110.2791077,1.894329169,2.12965381,72.11808007,"27,279","23,815","3,464",12.7,5608.522448,23830,35150
Arizona,Apache,2010,205.9436551,50.70293821,2.686320897,3.68803438,74.19283424,"23,438","19,589","3,849",16.4,1633.15529,18669,30744
Arizona,Cochise,2010,255.2571487,50.63091383,1.081576854,1.315142506,78.51493007,"57,023","51,694","5,329",9.3,6497.888958,49834,45213
Arizona,Coconino,2010,192.111093,46.71907473,1.50577723,2.113772641,79.11245324,"72,846","65,650","7,196",9.9,7350.042032,44276,42130
Arizona,Maricopa,2010,205.3087271,48.50947477,2.33116792,0.762620009,79.84399514,"1,919,590","1,736,764","182,826",9.5,8052.726704,1384358,50410
Arizona,Mohave,2010,297.1194971,72.4827505,2.443566444,2.143570505,75.28312267,"82,726","71,999","10,727",13,7043.449592,82166,36456
Arizona,Navajo,2010,229.7261752,50.4429344,1.662358795,2.286103592,75.76431175,"43,903","37,450","6,453",14.7,5592.42059,34891,40623
Arizona,Pima,2010,215.7563243,52.35977573,2.229302344,0.847547185,79.12219548,"478,743","434,106","44,637",9.3,5901.987528,382574,44274
Arizona,Pinal,2010,191.314373,52.25520587,1.825156089,0.636347727,79.56754759,"153,707","137,242","16,465",10.7,6043.176656,118749,50110
Arizona,Yavapai,2010,206.3965459,55.49235547,1.18274092,1.239717112,78.97842417,"96,533","86,224","10,309",10.7,4859.429568,90607,40274
Arizona,Yuma,2010,187.5075005,48.7828876,1.582952572,1.003261767,80.36100753,"92,816","69,500","23,316",25.1,5736.992352,67750,42240
Arkansas,Benton,2010,265.0622777,50.14217227,1.069247749,0.731120264,79.52540028,"107,121","99,999","7,122",6.6,4474.975999,79186,52368
Arkansas,Craighead,2010,341.0483484,75.30304992,2.044966177,1.578816761,76.07975878,"47,796","44,249","3,547",7.4,8142.785087,37167,36320
Arkansas,Faulkner,2010,273.1194714,63.72627567,1.454990589,2.639456638,77.31045615,"58,711","54,465","4,246",7.2,7070.127255,42159,43033
Arkansas,Garland,2010,291.0915434,72.81357648,2.617555056,1.883683743,75.80755838,"41,563","38,046","3,517",8.5,12862.4094,38369,36482
Arkansas,Jefferson,2010,387.466988,55.98981962,4.241783195,3.883114249,74.50824254,"33,973","30,438","3,535",10.4,13439.98116,28392,33474
Arkansas,Lonoke,2010,313.3987481,74.87239636,1.461459853,1.86083877,75.91820522,"33,287","31,036","2,251",6.8,7234.743862,24702,49367
Arkansas,Pulaski,2010,291.9943719,54.9515008,4.348549778,3.350720295,76.31485252,"189,321","175,512","13,809",7.3,15182.0519,154943,44482
Arkansas,Saline,2010,246.3534412,59.59203632,1.607099796,2.082932957,78.09893589,"53,382","49,824","3,558",6.7,9520.994743,40315,52664
Arkansas,Sebastian,2010,324.9720391,66.63315645,2.289512303,1.606551243,76.47329034,"59,543","54,760","4,783",8,9798.353877,49363,38093
Arkansas,Washington,2010,278.3768211,63.94541324,1.299342084,1.741286392,78.11628052,"102,865","96,162","6,703",6.5,6561.445842,76407,38278
Arkansas,White,2010,348.5437066,72.83136098,1.250058884,1.503466924,76.11681644,"36,442","33,437","3,005",8.2,7314.808761,29806,38326
California,Alameda,2010,211.7260853,37.50089011,3.330791718,0.693826724,80.92492022,"782,522","697,112","85,410",10.9,8076.298889,537410,67169
California,Butte,2010,259.7471905,67.25256035,1.663058384,1.595959859,77.95184157,"102,568","88,322","14,246",13.9,6137.272727,84629,41657
California,Contra Costa,2010,213.056934,43.71220525,2.043106608,0.68892174,80.9513047,"525,547","467,914","57,633",11,6692.690832,367883,73721
California,El Dorado,2010,205.033929,48.28412839,1.161570598,1.249520467,80.83173273,"91,129","80,002","11,127",12.2,3613.206818,67092,66129
California,Fresno,2010,272.7366066,48.12210499,3.578012688,0.95483469,78.62689235,"439,593","366,221","73,372",16.7,9586.329196,284690,45221
California,Humboldt,2010,258.5030235,70.11838534,2.194704745,2.209223908,77.22654061,"66,061","59,084","6,977",10.6,7235.019276,54980,38492
California,Imperial,2010,231.3810475,36.07799738,2.632593499,1.844773348,79.9229147,"78,665","55,978","22,687",28.8,7344.953245,48206,41802
California,Kern,2010,308.672159,74.32972111,2.163096082,0.692186196,77.28212581,"371,515","313,361","58,154",15.7,8500.162571,252284,45524
California,Kings,2010,268.2900712,59.73967967,1.832582789,1.498236083,78.76579236,"59,440","49,857","9,583",16.1,4584.199448,40818,44609
California,Lake,2010,301.4390243,81.77947994,2.855405587,1.393303723,75.65538428,"29,847","25,343","4,504",15.1,6671.305961,24521,34910
California,Los Angeles,2010,239.2562309,37.40958534,3.950829214,0.446247355,80.72871068,"4,917,375","4,302,274","615,101",12.5,5795.864076,3202353,52684
California,Madera,2010,264.1362099,51.4954411,2.090777162,0.868716014,78.91223346,"61,607","51,366","10,241",16.6,5268.94906,42189,48268
California,Marin,2010,168.0988903,30.8086664,1.861618642,0.712855558,83.0882433,"133,012","122,570","10,442",7.9,4537.08069,102692,83867
California,Mendocino,2010,258.7442651,60.69654285,2.066089037,1.710608725,78.24888025,"41,601","36,772","4,829",11.6,4595.803782,33057,40536
California,Merced,2010,263.5383304,54.98247363,2.181151503,1.364865894,78.77583095,"113,579","93,191","20,388",18,7601.458992,73885,42449
California,Monterey,2010,208.3957554,40.70093029,1.834983195,0.93760816,81.34150373,"215,788","188,339","27,449",12.7,6011.704417,125446,54534
California,Napa,2010,237.1975804,46.702188,1.53541457,0.494548375,80.19997799,"70,216","62,989","7,227",10.3,5101.696902,49754,64401
California,Nevada,2010,203.1552307,49.23051349,1.131818727,0.828833218,81.06443234,"48,915","43,178","5,737",11.7,3579.239399,40851,54456
California,Orange,2010,211.3709271,38.69329246,1.64646551,0.298294923,81.84622021,"1,537,187","1,387,438","149,749",9.7,4515.831338,986297,70880
California,Placer,2010,220.2327974,46.3306819,0.985580797,0.696283343,81.03648847,"173,338","153,236","20,102",11.6,4918.893787,131234,67884
California,Riverside,2010,249.963823,52.23157574,2.802870517,0.443690045,79.75177894,"976,444","841,285","135,159",13.8,6007.377465,670075,54296
California,Sacramento,2010,254.3704161,53.5959378,2.878117895,0.659483084,78.85970148,"683,127","596,992","86,135",12.6,8375.528973,514514,52709
California,San Bernardino,2010,291.947705,65.75559902,2.3806906,0.781620559,78.2251346,"890,278","769,890","120,388",13.5,6329.911901,594975,52607
California,San Diego,2010,215.9388576,42.82682697,2.831814564,0.965874353,80.85545321,"1,515,198","1,352,266","162,932",10.8,5147.589274,1061210,59923
California,San Joaquin,2010,282.0436177,56.19762919,2.693143576,0.545583757,78.12410665,"311,437","259,995","51,442",16.5,9889.450844,215469,50011
California,San Luis Obispo,2010,236.2227346,46.04516194,1.349836226,0.914290299,80.81520196,"133,651","120,209","13,442",10.1,5134.681071,99653,53978
California,San Mateo,2010,191.4938755,33.97377477,1.886094704,0.335492604,82.34851597,"393,004","360,163","32,841",8.4,4766.08704,257509,82748
California,Santa Barbara,2010,221.0634609,38.3760127,1.735238029,0.764607344,81.3798295,"212,267","191,680","20,587",9.7,4985.196806,140842,56767
California,Santa Clara,2010,177.735593,32.33175784,1.32832422,0.416356038,82.70128152,"926,525","830,114","96,411",10.4,5087.105041,599235,85002
California,Santa Cruz,2010,223.3459076,42.41724958,1.649041221,0.74527271,81.15108881,"141,717","122,872","18,845",13.3,7325.95986,91264,61071
California,Shasta,2010,289.1911055,86.10187359,1.602918763,1.823253436,76.59066772,"78,503","65,334","13,169",16.8,7053.824842,67909,41023
California,Solano,2010,220.4930843,52.73842133,3.155180189,0.866779281,79.14586258,"202,407","176,969","25,438",12.6,7018.125339,140202,63384
California,Sonoma,2010,234.980851,47.91967651,2.459888367,0.802603799,80.35490689,"244,634","218,100","26,534",10.8,4435.415539,185711,59055
California,Stanislaus,2010,302.7939119,58.24713357,1.961679201,0.741208778,77.94266283,"243,274","202,182","41,092",16.9,9168.767604,165761,48044
California,Sutter,2010,284.071286,64.0994091,1.576441837,1.311624114,78.5629543,"45,965","37,528","8,437",18.4,5997.656671,32066,46521
California,Tulare,2010,305.73097,58.49556344,2.238188614,1.498105685,77.86039836,"203,021","168,110","34,911",17.2,8079.759554,129590,43397
California,Ventura,2010,216.0508518,42.14893757,1.268958811,0.868162054,81.38997083,"430,010","383,424","46,586",10.8,4329.432856,265904,71864
California,Yolo,2010,215.053773,59.23223023,1.659077082,0.72143569,80.0713015,"102,188","89,834","12,354",12.1,6444.642493,68585,55798
California,Yuba,2010,326.771152,85.89409625,1.892563679,1.527804645,76.09703408,"29,064","23,902","5,162",17.8,5421.661701,23175,45755
