STATE,COUNTY,YEAR,Cardiovascular diseases,Chronic respiratory diseases,HIV/AIDS and tuberculosis,Nutritional deficiencies,Age,Civilian_labor_force,Employed,Unemployed,Unemployment_rate,Crime_rate
Alabama,Autauga,2011,314.2845395,78.97060523,2.237877598,2.467823935,75.66856382,"25,836","23,677","2,159",8.4,6694.751432
Alabama,Baldwin,2011,282.0500114,55.15409803,2.162861207,1.263003969,77.79993727,"85,045","77,418","7,627",9,5758.373284
Alabama,Barbour,2011,262.2848226,68.75348795,4.475283389,2.069300617,75.28452629,"9,849","8,712","1,137",11.5,5509.442169
Alabama,Bibb,2011,374.177455,81.54511779,1.607987536,2.568669712,74.01952213,"8,933","7,996",937,10.5,5532.037714
Alabama,Blount,2011,313.0220879,82.53512102,1.411667203,1.891056788,76.28528429,"25,123","22,939","2,184",8.7,4909.892705
Alabama,Bullock,2011,334.1607261,52.34709284,4.560319,2.998871697,73.83379239,"4,833","4,272",561,11.6,3656.423817
Alabama,Butler,2011,376.3980366,72.06386988,3.783926852,1.854483164,73.5923232,"9,188","8,042","1,146",12.5,8086.278981
Alabama,Calhoun,2011,363.3765778,83.32280455,2.296729126,2.189918972,74.23818199,"51,268","45,963","5,305",10.3,9579.245109
Alabama,Chambers,2011,332.5750999,79.01090252,4.24378195,2.578369793,74.07455728,"15,200","13,380","1,820",12,9505.526469
Alabama,Cherokee,2011,296.8627814,86.94099135,1.32615346,1.605971627,75.17176543,"11,476","10,364","1,112",9.7,8842.00046
Alabama,Chilton,2011,353.1064029,85.54897863,1.415694537,2.311533006,74.39746937,"19,539","17,753","1,786",9.1,7931.042346
Alabama,Choctaw,2011,351.4156302,58.01522082,2.732553541,1.63901181,75.32011463,"4,764","4,138",626,13.1,1651.58696
Alabama,Clarke,2011,317.3808088,68.66409191,2.513841584,1.612069021,75.32904762,"8,843","7,181","1,662",18.8,4326.385946
Alabama,Clay,2011,388.7271941,75.29454756,1.535791766,1.997217826,74.93992062,"5,598","4,935",663,11.8,2543.038788
Alabama,Cleburne,2011,352.2624163,86.3231194,1.275764689,2.266711544,74.56259461,"5,939","5,365",574,9.7,8341.862845
Alabama,Coffee,2011,303.3019021,77.79741863,2.046316081,1.551831761,76.57242434,"20,749","19,059","1,690",8.1,6738.662629
Alabama,Colbert,2011,296.6978153,77.02966048,1.560786916,2.027790165,75.31518635,"24,386","21,905","2,481",10.2,7101.846773
Alabama,Conecuh,2011,341.4684623,72.65811736,4.392076155,1.651042952,74.0061223,"4,785","4,057",728,15.2,7720.761845
Alabama,Coosa,2011,296.102842,74.87055751,2.031093905,2.649298222,75.12144482,"4,477","3,918",559,12.5,5812.746523
Alabama,Covington,2011,309.9340518,71.47004813,2.281348467,1.086777739,75.43503638,"16,367","14,764","1,603",9.8,5660.526524
Alabama,Crenshaw,2011,312.7031458,101.3947968,3.27143237,1.870066705,74.35205198,"6,432","5,798",634,9.9,5012.694958
Alabama,Cullman,2011,356.7285495,85.78165582,1.312174724,1.84958272,75.3376234,"35,669","32,279","3,390",9.5,5667.57021
Alabama,Dale,2011,294.7109459,83.11530409,2.315143251,1.499349048,76.30187699,"22,017","20,188","1,829",8.3,6717.762858
Alabama,Dallas,2011,408.4436479,64.88011461,5.509636436,2.884432108,72.42022324,"17,514","14,866","2,648",15.1,15832.02744
Alabama,Elmore,2011,275.3734706,84.70042384,2.365708966,2.415877248,76.20645815,"36,597","33,521","3,076",8.4,5165.33852
Alabama,Escambia,2011,343.6347258,65.90476219,3.321703408,1.725023096,74.20047595,"14,978","13,355","1,623",10.8,7461.756227
Alabama,Etowah,2011,357.2550193,93.90401724,1.89494181,1.888812835,73.84189864,"44,722","40,238","4,484",10,9810.069282
Alabama,Fayette,2011,328.9441041,82.80391937,1.681015424,1.576624549,74.11051273,"6,632","5,896",736,11.1,3192.10344
Alabama,Franklin,2011,379.0528682,98.46283889,1.471290181,2.138344765,73.43459353,"14,362","12,986","1,376",9.6,5556.259503
Alabama,Geneva,2011,326.4991582,75.96098891,1.980523273,1.09706915,75.58657742,"11,486","10,429","1,057",9.2,5308.518147
Alabama,Greene,2011,295.4164812,55.06364331,4.173631171,2.298264625,74.01821261,"3,226","2,668",558,17.3,8118.999644
Alabama,Hale,2011,365.6797524,59.49196169,2.767112369,2.30571313,73.89571325,"6,296","5,426",870,13.8,3125.739995
Alabama,Henry,2011,309.4392298,70.56440861,3.663454525,1.321288328,75.78976125,"7,270","6,563",707,9.7,3514.524015
Alabama,Houston,2011,296.6490864,66.29712502,3.57882518,1.351920424,76.81466967,"46,778","42,747","4,031",8.6,7811.948724
Alabama,Jackson,2011,352.2287651,88.76344769,1.195084544,2.162162057,74.22110918,"24,163","21,682","2,481",10.3,5342.005955
Alabama,Jefferson,2011,297.7324786,62.09108878,4.662789723,2.112580367,75.14456531,"319,652","289,916","29,736",9.3,12034.12213
Alabama,Lamar,2011,324.194126,82.84132282,1.621578024,1.492361555,74.98227866,"5,826","5,260",566,9.7,1551.182178
Alabama,Lauderdale,2011,265.3078498,72.84719124,1.390469922,1.305000699,76.49666981,"44,048","40,026","4,022",9.1,4466.748967
Alabama,Lawrence,2011,353.2860211,88.02571118,1.278218628,2.116751134,74.38731395,"14,788","13,177","1,611",10.9,4211.105959
Alabama,Lee,2011,277.7255779,67.51566716,2.780159191,1.468551529,77.21452242,"68,316","62,812","5,504",8.1,6935.751692
Alabama,Limestone,2011,305.9037365,64.55133166,2.71379779,1.720177892,77.04310429,"38,990","35,631","3,359",8.6,2983.890358
Alabama,Lowndes,2011,392.2322524,54.88531023,6.173781258,3.584371601,72.65623882,"4,239","3,489",750,17.7,8297.366335
Alabama,Macon,2011,374.0524943,43.9431316,5.958815193,2.761828074,72.9720378,"8,512","7,317","1,195",14,7065.646022
Alabama,Madison,2011,233.9966101,60.95316726,2.012242418,2.136716409,78.04909439,"171,726","157,512","14,214",8.3,8374.898193
Alabama,Marengo,2011,363.89262,61.86958664,2.257714764,2.095487858,74.66888983,"7,875","6,884",991,12.6,6729.53279
Alabama,Marion,2011,360.0064483,84.35836161,1.395358174,1.55168566,74.51949886,"12,556","11,149","1,407",11.2,4779.45932
Alabama,Marshall,2011,341.9321498,101.2764203,1.403070801,2.157155832,74.52507561,"41,085","37,216","3,869",9.4,8516.374763
Alabama,Mobile,2011,336.4813181,64.54221284,5.682269117,1.395771517,74.92326655,"193,851","172,971","20,880",10.8,10855.46291
Alabama,Monroe,2011,321.1435387,62.94778991,2.624146907,1.543723286,74.96650645,"8,325","7,017","1,308",15.7,6769.118185
Alabama,Montgomery,2011,271.4160965,63.14705203,6.258813043,2.761027615,76.01167625,"109,092","98,491","10,601",9.7,10591.97195
Alabama,Morgan,2011,322.9670402,75.12259256,1.420526496,3.090227999,76.13844585,"58,319","52,810","5,509",9.4,5962.60359
Alabama,Perry,2011,382.3292323,65.33100636,2.919831248,2.182308832,72.50795375,"3,866","3,227",639,16.5,26.99784017
Alabama,Pickens,2011,334.359335,62.53042314,2.398290212,1.571477559,74.56487463,"7,570","6,663",907,12,2204.888196
Alabama,Pike,2011,321.245096,70.58645961,4.617851916,1.912084317,74.90998261,"15,438","14,070","1,368",8.9,7459.842091
Alabama,Randolph,2011,352.5763877,70.58290674,2.020150819,3.23485523,74.81431297,"9,447","8,374","1,073",11.4,5633.496938
Alabama,Russell,2011,310.732477,80.32461142,4.51273019,2.592164761,73.86789117,"24,604","22,077","2,527",10.3,10082.43741
Alabama,Shelby,2011,236.4607183,56.26333465,1.175395681,1.897316576,79.03916838,"104,214","97,727","6,487",6.2,4268.07417
Alabama,Sumter,2011,327.9063869,51.18224314,4.611496914,2.008165565,74.58289711,"5,560","4,829",731,13.1,4649.457319
Alabama,Talladega,2011,343.5464988,84.78226876,2.668171478,2.300105333,73.96018283,"35,293","31,192","4,101",11.6,9275.944223
Alabama,Tallapoosa,2011,322.257585,78.65563077,2.571410491,3.037918672,74.99851275,"18,363","16,266","2,097",11.4,6615.320464
Alabama,Tuscaloosa,2011,311.5588617,69.91680994,2.362925062,1.546185136,75.62794702,"95,463","87,532","7,931",8.3,8286.595124
Alabama,Walker,2011,357.0460406,113.4735725,1.763161621,2.227318967,71.71524196,"27,092","24,034","3,058",11.3,13657.36171
Alabama,Washington,2011,341.6111683,63.0055273,2.371979291,1.269772518,74.98142663,"7,106","6,070","1,036",14.6,3164.27035
Alabama,Wilcox,2011,338.8102341,63.62957821,4.109841399,2.805862885,72.27472349,"2,979","2,289",690,23.2,2140.542384
Alabama,Winston,2011,312.7628049,101.8077789,1.449579032,1.726290805,74.56828725,"9,819","8,492","1,327",13.5,4080.969027
Arizona,Apache,2011,203.6605464,50.10424963,2.500633889,3.793098903,74.35655201,"23,040","18,788","4,252",18.5,1324.618484
Arizona,Cochise,2011,254.2650264,49.86846956,0.938824896,1.257743122,78.67012083,"55,917","50,589","5,328",9.5,6354.859874
Arizona,Coconino,2011,195.351553,47.52280756,1.282765437,2.051243683,79.0072897,"71,682","64,846","6,836",9.5,7603.943546
Arizona,Gila,2011,249.9710467,69.03003792,1.560428172,0.958811089,76.33087775,"21,171","18,725","2,446",11.6,4903.707315
Arizona,Graham,2011,241.602377,56.88075564,1.151497569,1.55624488,77.52949957,"14,345","12,916","1,429",10,4877.70092
Arizona,Greenlee,2011,234.1187815,57.06282544,0.964976389,1.292303349,78.05061765,"3,352","2,982",370,11,2025.01489
Arizona,La Paz,2011,187.1573592,48.22723266,1.470553795,1.01530317,80.34449445,"7,827","7,057",770,9.8,5846.363018
Arizona,Maricopa,2011,209.3321551,52.10273042,2.022881315,0.763030901,79.78919388,"1,894,633","1,732,510","162,123",8.6,8245.23947
Arizona,Mohave,2011,302.3888609,73.44199871,2.076941987,2.121749381,75.38783151,"79,594","69,823","9,771",12.3,6786.030933
Arizona,Navajo,2011,228.7539418,51.55806382,1.600075706,2.328204454,75.54625008,"43,344","36,914","6,430",14.8,5009.63568
Arizona,Pima,2011,226.126934,50.3314044,2.064304956,0.855422279,79.10095796,"466,908","427,335","39,573",8.5,5711.167441
Arizona,Pinal,2011,192.6994521,51.18614941,1.629887817,0.646131952,79.59593191,"149,658","135,043","14,615",9.8,5800.435205
Arizona,Santa Cruz,2011,172.1085755,31.75711883,0.939005322,0.833971877,81.82779496,"20,478","17,311","3,167",15.5,4072.935439
Arizona,Yavapai,2011,214.0339824,55.58199588,1.083366901,1.258877275,78.97826765,"93,132","83,953","9,179",9.9,4959.349593
Arizona,Yuma,2011,187.1573592,48.22723266,1.470553795,1.01530317,80.34449445,"91,935","69,677","22,258",24.2,5161.129645
Arkansas,Arkansas,2011,409.8057572,73.97653926,1.594238735,2.421824559,74.54099453,"10,589","9,297","1,292",12.2,7905.860252
Arkansas,Ashley,2011,381.7174531,61.01012425,2.108232645,3.090225355,74.89381924,"9,886","8,780","1,106",11.2,5454.628032
Arkansas,Baxter,2011,280.2722372,65.27220788,0.97166121,1.460421494,76.82867402,"16,602","15,061","1,541",9.3,6067.85091
Arkansas,Benton,2011,262.4631988,51.66178496,0.949380392,0.724271095,79.34006566,"109,574","102,441","7,133",6.5,4849.909438
Arkansas,Boone,2011,324.2341696,61.70151043,0.88850226,1.361069646,77.22808487,"16,697","15,367","1,330",8,5946.035061
Arkansas,Bradley,2011,460.345042,54.06095209,2.396738116,2.42332281,74.51545132,"4,560","3,988",572,12.5,4452.086625
Arkansas,Calhoun,2011,301.6143679,66.69517779,1.737411636,2.08578438,75.82306265,"2,639","2,385",254,9.6,1793.307451
Arkansas,Carroll,2011,268.2600153,57.27412443,1.151932316,1.260285964,77.9173594,"12,896","11,964",932,7.2,5431.402329
Arkansas,Chicot,2011,414.440561,56.70968034,3.484906572,2.873740017,73.40604958,"4,282","3,718",564,13.2,3297.165447
Arkansas,Clark,2011,350.3731953,61.12179894,1.924972917,2.995248804,75.85880099,"10,335","9,261","1,074",10.4,6599.335319
Arkansas,Clay,2011,399.2762909,70.4612846,0.825251662,1.746396196,74.82099975,"7,304","6,419",885,12.1,2918.852206
Arkansas,Cleburne,2011,310.9755185,67.52143328,1.0932471,1.392331885,77.2897769,"10,551","9,579",972,9.2,7242.222732
Arkansas,Cleveland,2011,350.4154081,72.86098202,0.938220951,1.852398948,76.23326795,"3,885","3,554",331,8.5,3083.952027
